Protein,g2_g1.p-value,g2_g1.log2foldchange,g4_g3.p-value,g4_g3.log2foldchange
sp|A0A075B6R9|KVD24_HUMAN;sp|A0A0C4DH68|KV224_HUMAN,0.484652443696737,0.434899081551731,0.100752961455673,1.36842742324178
sp|A0A075B6S2|KVD29_HUMAN;sp|A0A0A0MRZ7|KVD26_HUMAN;sp|A2NJV5|KV229_HUMAN,0.0850488668417786,-1.27817322626111,0.0109405228829935,-2.26710665016204
sp|A0A075B6S5|KV127_HUMAN;sp|A0A0C4DH67|KV108_HUMAN;sp|A0A0C4DH69|KV109_HUMAN,0.154602654550642,0.466035314127503,0.251099902162327,0.486625695473529
sp|A0A087WSY6|KVD15_HUMAN,0.779143309130731,0.124769120656648,0.800690390002584,-0.13929891646981
sp|A0A0A0MRZ8|KVD11_HUMAN;sp|P04433|KV311_HUMAN,0.0238165151241558,1.09612277167045,0.122780527995964,0.899321280828096
sp|A0A0B4J1V0|HV315_HUMAN,0.884596133123982,0.0481224262471938,0.451474678706489,0.460624678608852
sp|A0A0B4J1V1|HV321_HUMAN,0.242180785372477,0.772313104942318,0.0477477645835693,1.54550719831622
sp|A0A0B4J1X5|HV374_HUMAN,0.00864607613929191,1.83801265099147,0.00788032033075003,2.13280479114948
sp|A0A0B4J1Y9|HV372_HUMAN,0.00770777478994389,0.75614978730849,0.618194970295058,-0.158458762962465
sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN,0.0198933043332588,-1.29146116612798,0.0405194695363438,-1.24019267548785
sp|A0A0B4J2D9|KVD13_HUMAN;sp|P0DP09|KV113_HUMAN,0.068169993887917,-2.29984818767389,0.990391997145278,0.0113106080472016
sp|A0A0C4DH29|HV103_HUMAN,0.638516685398108,0.318905300943945,0.925265114708787,-0.0459076179481847
sp|A0A0C4DH31|HV118_HUMAN,0.194596072865698,0.557059612991827,0.126924846454733,0.796900169788726
sp|A0A0C4DH38|HV551_HUMAN,0.0379688630570154,0.622331070464272,0.231288649245406,0.431682345180817
sp|A0A0C4DH73|KV112_HUMAN;sp|P01611|KVD12_HUMAN,0.0189409801335556,0.899054173166205,0.00278987295451882,1.32810588235494
sp|A0A0J9YX35|HV64D_HUMAN,0.930431508602958,0.0214148721249295,0.261615260730201,0.426553237998726
sp|A0A2R8Y619|H2BE1_HUMAN,0.107607673072421,-0.705051694581823,0.000223466603695766,-1.19732367295721
sp|A0AVT1|UBA6_HUMAN,0.278282216171353,-0.629502088607029,0.00228918550670265,-2.04121662898283
sp|A0FGR8-2|ESYT2_HUMAN,8.71141114680007e-05,-1.61731221509165,6.15674690749302e-05,-1.96350822773682
sp|A1A5B4-3|ANO9_HUMAN;sp|A1A5B4|ANO9_HUMAN,0.0174055302062033,-1.57273221755113,0.937297634436699,-0.0546335433138707
sp|A2RRP1-2|NBAS_HUMAN;sp|A2RRP1|NBAS_HUMAN,0.0960762013302743,-0.64783485468506,0.867423828452802,-0.0918035587487187
sp|A4D1P6-2|WDR91_HUMAN;sp|A4D1P6-3|WDR91_HUMAN;sp|A4D1P6|WDR91_HUMAN,0.154116868597187,-0.907837937721701,0.11497360159931,1.80645438625127
sp|A5YKK6-2|CNOT1_HUMAN;sp|A5YKK6|CNOT1_HUMAN,0.0589344253437889,-1.3504918415504,0.313946332930518,-0.824461661789146
sp|A6NHL2-2|TBAL3_HUMAN;sp|A6NHL2|TBAL3_HUMAN,0.831831408372893,0.169489085344428,0.32452861437721,-0.987210285870782
