"Protein","Label","log2FC","SE","DF","pvalue","adj.pvalue","issue"
"sp|A0A075B6H7|KV37_HUMAN","MBC Spindle vs Normal",-3.2605383143636,1.45110080695444,9.4995552233151,0.049768184789757,0.176557573514423,NA
"sp|A0A075B6H7|KV37_HUMAN","MBC Squamous vs Normal",-1.38727060621082,1.18481884745977,9.4995552233151,0.270182972317876,0.527745077142033,NA
"sp|A0A075B6H7|KV37_HUMAN","MBC Sarcomatoid vs Normal",-3.3674895227164,1.18481884745977,9.4995552233151,0.018351821121289,0.270281009498356,NA
"sp|A0A075B6H7|KV37_HUMAN","TNBC vs Normal",-2.54447243874185,1.18481884745977,9.4995552233151,0.0587081914740785,0.180330736319905,NA
"sp|A0A075B6P5|KV228_HUMAN","MBC Spindle vs Normal",-1.48471348784507,0.584528991430643,27.7458287234638,0.0169746491199699,0.0920287023512575,NA
"sp|A0A075B6P5|KV228_HUMAN","MBC Squamous vs Normal",-0.687954976734485,0.654461373300248,27.8772990475053,0.302204404458336,0.55387520105232,NA
"sp|A0A075B6P5|KV228_HUMAN","MBC Sarcomatoid vs Normal",-0.944896212435932,0.61411951403796,27.9133633052259,0.135157473448482,0.495182891259699,NA
"sp|A0A075B6P5|KV228_HUMAN","TNBC vs Normal",-1.76797183273664,0.584619503510994,27.773955600706,0.00531835061461597,0.0427845401877258,NA
"sp|A0A087WSY6|KVD15_HUMAN","MBC Spindle vs Normal",-1.62088133149933,0.41455719573559,59.3054334547261,0.000239925281286729,0.0064237228437079,NA
"sp|A0A087WSY6|KVD15_HUMAN","MBC Squamous vs Normal",0.357456011943309,0.45358676900585,58.2567728239666,0.433853481304265,0.666695945791552,NA
"sp|A0A087WSY6|KVD15_HUMAN","MBC Sarcomatoid vs Normal",-0.852749128075341,0.441337821630571,58.1350318339068,0.0582136487819049,0.386812676718199,NA
"sp|A0A087WSY6|KVD15_HUMAN","TNBC vs Normal",-1.5377850481123,0.413637388971705,57.2752131092091,0.000458916635576757,0.00956638721955959,NA
"sp|A0A0A0MT36|KVD21_HUMAN","MBC Spindle vs Normal",0.0774943917050304,1.3158462241295,9.4995552233151,0.954257560960136,0.977751230093115,NA
"sp|A0A0A0MT36|KVD21_HUMAN","MBC Squamous vs Normal",-Inf,NA,NA,NA,NA,"oneConditionMissing"
"sp|A0A0A0MT36|KVD21_HUMAN","MBC Sarcomatoid vs Normal",-0.324487896777362,1.76539296305398,9.4995552233151,0.858030371778942,0.962436329764517,NA
"sp|A0A0A0MT36|KVD21_HUMAN","TNBC vs Normal",-1.81193704066496,1.44143731832745,9.4995552233151,0.238767745000467,0.436863827589914,NA
"sp|A0A0B4J1V0|HV315_HUMAN","MBC Spindle vs Normal",-1.35533774580818,0.360880994029656,33.8684836940826,0.000651098448075258,0.0118133296771915,NA
"sp|A0A0B4J1V0|HV315_HUMAN","MBC Squamous vs Normal",-0.518283005903666,0.422685587620189,33.7195263656029,0.228630283350911,0.48077098332062,NA
"sp|A0A0B4J1V0|HV315_HUMAN","MBC Sarcomatoid vs Normal",-1.03569053554489,0.400463013623913,33.7287665826349,0.0141975836272666,0.248060886605597,NA
